Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
National,2020-01-07,,,,,64061056,263106378,1192777492,302780005,297166032,144634161,181665190,180871950,60237863,17481504,5974376,1261438,704973,00-00000-20200107
National,2020-01-08,,,,,63130539,264036895,1211494553,307065688,300544978,147136666,185383371,184337715,60964615,17804201,6233018,1319407,704894,00-00000-20200108
National,2020-01-09,,,,,63037086,264130348,1217243603,308655576,301990582,147768191,185804009,184984228,61520526,18151601,6390267,1309059,669564,00-00000-20200109
National,2020-01-10,,,,,61518047,265649387,1279997324,323459566,323575488,157711739,196210217,189494196,61601443,18695806,7203901,1371010,673958,00-00000-20200110
National,2020-01-11,,,,,70790476,256376958,1156498183,291160787,303637739,147403595,177864238,159901780,50759776,17265409,6622808,1243393,638658,00-00000-20200111
National,2020-01-12,,,,,76007363,251160071,1050581243,263772726,280540156,135145245,162098734,141265560,42979929,15412662,7145659,1444106,776466,00-00000-20200112
National,2020-01-13,,,,,64975796,262191638,1189940388,307528462,297728572,144110190,179295762,177699510,58887771,17033878,5863121,1155756,637366,00-00000-20200113
National,2020-01-14,,,,,63582755,263584679,1224774654,315193724,305137161,148098511,185756136,184552108,61066142,17432234,5800564,1176679,561395,00-00000-20200114
National,2020-01-15,,,,,63136738,264030696,1230293956,317420440,306808634,149013791,186648381,184268794,60740020,17473189,6016310,1259294,645103,00-00000-20200115
National,2020-01-16,,,,,62645079,264522355,1230268158,316502579,306273172,148905227,186474639,183954711,61008566,18091340,6768592,1469377,819955,00-00000-20200116
National,2020-01-17,,,,,62263792,264903642,1278250057,328454660,323061173,156705008,194023234,186675772,60608161,18704526,7730938,1523518,763067,00-00000-20200117
National,2020-01-18,,,,,71819942,255347492,1166131075,297376285,306792514,148336070,178242222,159116466,50075324,17179677,6970790,1316122,725605,00-00000-20200118
National,2020-01-19,,,,,76607235,250560199,1051019710,267517396,278485111,133983234,161518530,141250217,43054609,15579311,7339877,1483034,808391,00-00000-20200119
National,2020-01-20,,,,,69923261,257244173,1123972352,284051088,279383051,136700945,171076307,167493486,56756318,18649535,7566123,1500062,795437,00-00000-20200120
National,2020-01-21,,,,,64458818,262708616,1197261676,305811768,296486824,144464973,182155315,181648239,60712642,17713419,6194349,1315925,758222,00-00000-20200121
National,2020-01-22,,,,,62367536,264799898,1223732200,311554316,304617057,148986115,187375090,184801441,60858119,17493536,6113405,1265318,667803,00-00000-20200122
National,2020-01-23,,,,,63631506,263535928,1230534034,317684064,305997858,148399442,186143106,184428396,61157374,18007879,6552188,1404941,758786,00-00000-20200123
National,2020-01-24,,,,,62012426,265155008,1295518515,332412401,326662807,158540090,196778131,190272499,61965935,19138800,7554973,1447306,745573,00-00000-20200124
National,2020-01-25,,,,,69129409,258038025,1188078124,298647657,305868768,149599498,183206532,167957623,54894428,18885702,7058860,1261738,697318,00-00000-20200125
National,2020-01-26,,,,,73941931,253225503,1065834948,269818963,282471581,136167821,163409369,143537827,44499473,16218785,7442253,1458237,810639,00-00000-20200126
National,2020-01-27,,,,,64111113,263056321,1202319115,312465903,300154358,144766310,181148844,178832312,59419685,17378763,6142500,1262533,747907,00-00000-20200127
National,2020-01-28,,,,,63348218,263819216,1209818823,310833591,301264323,146467781,183591517,181744727,60290042,17559290,6065242,1312050,690260,00-00000-20200128
National,2020-01-29,,,,,63791317,263376117,1219752264,312049370,303554591,147646597,185811580,184065011,60825504,17661795,6125326,1326451,686039,00-00000-20200129
National,2020-01-30,,,,,62466817,264700617,1201844275,304785431,295255199,144679785,182871126,181457023,61888705,19399519,8212740,2002466,1292281,00-00000-20200130
National,2020-01-31,,,,,60279114,266888320,1262105426,317330299,315324949,154242322,191852643,186519001,62785868,20766158,9602853,2227372,1453961,00-00000-20200131
National,2020-02-01,,,,,66752030,260415404,1190348735,295149390,307167918,150423698,182654108,166476045,55670170,20392424,9064463,2011592,1338927,00-00000-20200201
National,2020-02-02,,,,,73049380,254118054,1055746737,266979987,280189106,133920207,160499898,141098729,44252678,16626698,8688258,2086311,1404865,00-00000-20200202
National,2020-02-03,,,,,62674786,264492648,1199881215,309361981,298768180,144217541,179488542,176581766,60146693,19254250,8556657,2063337,1442268,00-00000-20200203
National,2020-02-04,,,,,61679850,265487584,1197568685,304952859,295068380,143677498,181306282,179890657,61391691,19439658,8327027,2092412,1422221,00-00000-20200204
National,2020-02-05,,,,,62904481,264262953,1199350169,308458460,298209235,144298569,180216978,177423991,60002386,18872829,8304067,2103775,1459879,00-00000-20200205
National,2020-02-06,,,,,61906353,265261081,1195789304,307479845,298625144,143734227,179542671,176469771,59488047,18745897,8251921,2067331,1384450,00-00000-20200206
National,2020-02-07,,,,,60378882,266788552,1260658317,321227400,318280745,154003697,190559844,183149967,60833405,20115674,9077942,2050978,1358665,00-00000-20200207
National,2020-02-08,,,,,68190960,258976474,1164809061,290540680,300095373,146238755,178235666,163597281,54660996,19938962,8417405,1810766,1273177,00-00000-20200208
National,2020-02-09,,,,,81478436,245688998,960101921,234357631,252068034,123399995,148640436,130353089,41831115,16746977,8808184,2129728,1766732,00-00000-20200209
National,2020-02-10,,,,,62675132,264492302,1185964968,292946326,294545015,144885394,182149861,178440677,60463998,19640416,8683427,2270807,1939047,00-00000-20200210
National,2020-02-11,,,,,58433923,268733511,1200995733,296802910,296744832,146856376,184895728,181804433,61481516,19705512,8553730,2266209,1884487,00-00000-20200211
National,2020-02-12,,,,,59593637,267573797,1227156309,303579869,302694644,150786974,189797325,184798145,61917935,20022668,8989172,2439045,2130532,00-00000-20200212
National,2020-02-13,,,,,58647882,268519552,1219699730,300074769,301880602,150130353,187871584,182989634,61811451,20578555,9601428,2571781,2189573,00-00000-20200213
National,2020-02-14,,,,,57024410,270143024,1315614708,319081219,325521024,164020356,204495724,196370884,66127553,23280859,11487492,2845046,2384551,00-00000-20200214
National,2020-02-15,,,,,65226001,261941433,1204852572,288833905,299500308,152290600,189326003,175602813,60322185,23482911,10728719,2539529,2225599,00-00000-20200215
National,2020-02-16,,,,,73049587,254117847,1063100765,257226108,270598174,135866898,166487689,148324377,48743018,20186720,10768400,2650649,2248732,00-00000-20200216
National,2020-02-17,,,,,82467158,244700276,980769096,239589215,239294977,120525268,151441001,147332208,51120408,18411662,8987761,2254922,1811674,00-00000-20200217
National,2020-02-18,,,,,61680016,265487418,1190702707,292051962,288807317,144925566,184164548,182959892,62894050,20750886,9452489,2545775,2150222,00-00000-20200218
National,2020-02-19,,,,,59593514,267573920,1227157151,303337556,298627652,148735741,189169697,188347712,64343580,21034041,9287459,2439932,1833781,00-00000-20200219
National,2020-02-20,,,,,61906130,265261304,1199202157,295895640,292002248,144849029,184115121,184144503,63567028,20981303,9533107,2445064,1669114,00-00000-20200220
National,2020-02-21,,,,,60379182,266788252,1274395038,312948432,310863884,155230299,196466427,192659139,66329756,23497553,11590435,2851612,1957501,00-00000-20200221
National,2020-02-22,,,,,62261223,264906211,1230328799,301711140,307727349,153643270,190070740,176673481,61221532,23812177,10977657,2627045,1864408,00-00000-20200222
National,2020-02-23,,,,,73049238,254118196,1077811394,265055505,280555957,137931677,166790142,148179060,47720022,18867580,9484051,1999054,1228346,00-00000-20200223
National,2020-02-24,,,,,62674465,264492969,1199874716,299276276,300003259,148088101,185009486,180401832,58988619,17939638,7054939,1677629,1434937,00-00000-20200224
National,2020-02-25,,,,,58433526,268733908,1225016140,303674928,301660744,149660058,189587152,188620091,62751575,18951086,7045938,1630513,1434055,00-00000-20200225
National,2020-02-26,,,,,59593760,267573674,1261918593,309951170,336516427,158994394,193518655,181080883,55975244,16824986,6558665,1486624,1011545,00-00000-20200226
National,2020-02-27,,,,,58647818,268519616,1250450270,315236907,312067297,153123619,191330243,188033054,62085459,18798809,7000874,1577013,1196995,00-00000-20200227
National,2020-02-28,,,,,57024200,270143234,1325922758,333224727,335572479,164076703,202775243,194592882,63842724,20580089,8357600,1667030,1233281,00-00000-20200228
National,2020-02-29,,,,,62261075,264906359,1270370021,311887000,325445358,161492996,197475715,181339601,60329574,21652515,8058658,1528297,1160307,00-00000-20200229
National,2020-03-01,,,,,70239950,256927484,1103564948,279450167,290439018,140527309,168640341,148371515,46694318,17784934,8541584,1826957,1288805,00-00000-20200301
National,2020-03-02,,,,,62675080,264492354,1238134641,318826460,309615475,149506187,185722212,184056245,61757080,18747063,6932465,1540518,1430936,00-00000-20200302
National,2020-03-03,,,,,58433989,268733445,1262762409,329156203,309753259,149009332,187309764,188349717,65451901,21652589,9048506,1986630,1044508,00-00000-20200303
National,2020-03-04,,,,,59594013,267573421,1272349990,328418084,309059958,150487779,190717688,192464789,66823713,22109729,9313631,1958198,996421,00-00000-20200304
National,2020-03-05,,,,,55390150,271777284,1270948525,326880490,309181805,150269370,190293129,192197507,67089897,22414285,9629056,1987246,1005740,00-00000-20200305
National,2020-03-06,,,,,57024833,270142601,1312174388,332820319,323278257,156762253,196959806,196001063,68053317,24093748,11030132,2157586,1017907,00-00000-20200306
National,2020-03-07,,,,,62261631,264905803,1263082657,318805979,319911075,156263407,191572702,177799863,60557128,23854994,10954986,2159904,1202619,00-00000-20200307
National,2020-03-08,,,,,70240074,256927360,1099883609,279948709,282529026,137083627,166614365,149787048,49115516,20512603,10799977,2265225,1227513,00-00000-20200308
National,2020-03-09,,,,,62675176,264492258,1227697771,317738246,299649111,145739233,184243434,183938926,63323101,21245276,8984475,1816768,1019201,00-00000-20200309
National,2020-03-10,,,,,61680334,265487100,1225015868,314269775,298244258,145069212,184292504,185381949,64319037,21529397,9001748,1880041,1027947,00-00000-20200310
National,2020-03-11,,,,,59594059,267573375,1261922006,334490156,310542929,145472443,182194259,180749994,64526173,24743769,13475220,3371347,2355716,00-00000-20200311
National,2020-03-12,,,,,61906643,265260791,1243616566,332233996,306823845,142070590,176323686,176378776,63799685,25539735,14476977,3651375,2317901,00-00000-20200312
National,2020-03-13,,,,,60379289,266788145,1295004468,345697609,325826390,151446527,186551193,179597555,61674289,24567970,14049882,3367861,2225192,00-00000-20200313
National,2020-03-14,,,,,74121115,253046319,1168443362,308825453,304867673,139750743,168647126,153532471,51651565,22174987,13012109,3403634,2577601,00-00000-20200314
National,2020-03-15,,,,,87097677,240069757,996887136,260872756,266240918,125026093,147580259,127808244,40088801,16524689,9411065,2144244,1190067,00-00000-20200315
National,2020-03-16,,,,,75869938,251297496,1144230584,294698453,283938818,135639717,169751661,169060930,58665432,20256140,9131886,1974383,1113164,00-00000-20200316
National,2020-03-17,,,,,84404584,242762850,1070601942,278469018,261332572,124934743,158296351,160394267,56201829,19294243,8667054,1968337,1043528,00-00000-20200317
National,2020-03-18,,,,,89391093,237776341,1063766960,278116777,258254631,123527928,157205727,159337556,56009593,19406385,8868178,2034447,1005738,00-00000-20200318
National,2020-03-19,,,,,91230685,235936749,1031792630,271271428,253217421,120122678,151289442,152745202,53227802,18439205,8566400,1947262,965790,00-00000-20200319
National,2020-03-20,,,,,90568700,236598734,1061423759,280891914,265827718,125114925,154773989,151877430,52158617,18568740,9096748,2042455,1071223,00-00000-20200320
National,2020-03-21,,,,,100804517,226362917,960966985,261305958,256193768,117940011,138300535,121923242,38836679,14988239,8309061,2056951,1112541,00-00000-20200321
National,2020-03-22,,,,,99351528,227815906,779419904,216365729,213420468,94783144,108820873,93441301,29614485,12442597,7619703,1941034,970570,00-00000-20200322
National,2020-03-23,,,,,89122519,238044915,870340698,230155728,215213250,100498555,126551560,127763110,44798851,15583719,7282150,1615777,877998,00-00000-20200323
National,2020-03-24,,,,,91099456,236067978,872706770,237231398,214900919,99304045,124563320,126186406,44607328,15790915,7451193,1766652,904594,00-00000-20200324
National,2020-03-25,,,,,91702132,235465302,867965984,236901243,212011406,98427777,124196002,125679502,44753881,15811850,7507743,1814386,862194,00-00000-20200325
National,2020-03-26,,,,,91480315,235687119,896323261,249046638,220176833,101733994,127277004,127860092,44917281,15636769,7206567,1702551,765532,00-00000-20200326
National,2020-03-27,,,,,90810744,236356690,897838775,246780056,223124153,103465017,128343820,126387870,43928059,15691479,7579580,1745720,793021,00-00000-20200327
National,2020-03-28,,,,,97475325,229692109,813423690,222391553,219528792,99772446,116477840,101491959,32145892,12283468,6704777,1724974,901989,00-00000-20200328
National,2020-03-29,,,,,103367235,223800199,737100416,204769360,203430460,90187457,103610752,87409590,27372987,11068476,6527501,1738620,985213,00-00000-20200329
National,2020-03-30,,,,,90744448,236422986,856710276,232156742,211519004,98797012,123773675,123130799,43101760,14969105,6839073,1565886,857220,00-00000-20200330
National,2020-03-31,,,,,93371152,233796282,844978230,229377342,207813303,96906024,121209124,121738485,43056423,15138674,7096540,1755842,886473,00-00000-20200331
National,2020-04-01,,,,,92048676,235118758,885030932,246165778,219069952,101399708,126201146,125086848,43248125,14876297,6631795,1552789,798494,00-00000-20200401
National,2020-04-02,,,,,92378990,234788444,865942581,237783036,212547913,99457713,124190407,123359037,43293342,15400709,7297276,1720357,892791,00-00000-20200402
National,2020-04-03,,,,,90694427,236473007,896792655,242497261,226539242,105959244,130172169,125447919,42415056,14711053,6729051,1482318,839342,00-00000-20200403
National,2020-04-04,,,,,98847351,228320083,807362923,221170458,217288956,100147287,117098531,100605815,30892074,11467689,6062662,1587483,1041968,00-00000-20200404
National,2020-04-05,,,,,103024157,224143277,744107892,208734269,203794184,91277549,105272897,88475808,27067185,10589116,6187654,1659946,1049284,00-00000-20200405
National,2020-04-06,,,,,93298445,233868989,890953746,247899028,222496128,102913084,127917780,125138163,42743629,14248683,5814223,1179585,603443,00-00000-20200406
National,2020-04-07,,,,,92991783,234175651,908185570,254499222,225984420,104122923,129637030,128244620,43974519,14396769,5623121,1168542,534404,00-00000-20200407
National,2020-04-08,,,,,92849902,234317532,901542017,250968911,224374691,103696489,128784297,127756928,43871021,14450925,5810295,1266467,561993,00-00000-20200408
National,2020-04-09,,,,,94603720,232563714,887228191,240655624,221103777,102441707,128329063,128367573,44205205,14473930,5814955,1267667,568690,00-00000-20200409
National,2020-04-10,,,,,89939305,237228129,928398295,251370116,237836607,110756131,135630965,128662936,42083281,14053520,6071082,1313834,619823,00-00000-20200410
National,2020-04-11,,,,,93559679,233607755,919389754,257651590,250853137,114931875,132863193,111979119,33035017,11245800,5033168,1184178,612677,00-00000-20200411
National,2020-04-12,,,,,110211784,216955650,672104143,189465680,188383260,81528638,94153057,80371804,23659359,8559832,4338784,1071370,572359,00-00000-20200412
National,2020-04-13,,,,,95963913,231203521,864262458,232049240,218451805,100434051,125406423,124624627,42656501,13778392,5348777,1052521,460121,00-00000-20200413
National,2020-04-14,,,,,90256445,236910989,911495873,257444480,238182616,103588864,125869111,121943290,41115958,14050775,6668998,1744051,887730,00-00000-20200414
National,2020-04-15,,,,,87388034,239779400,924492910,255637955,242207880,107175561,129958474,125306279,41408851,13996637,6316391,1630657,854225,00-00000-20200415
National,2020-04-16,,,,,91821128,235346306,916801343,250670624,239721269,107000585,130220412,126529620,41292818,13417664,5748680,1424277,775394,00-00000-20200416
National,2020-04-17,,,,,84488171,242679263,948294124,259156206,250027721,111551304,134348718,127567916,41611111,14524798,6937714,1636044,932592,00-00000-20200417
National,2020-04-18,,,,,93559587,233607847,915858236,248210024,256014135,114214809,130459426,112600385,34221177,12011513,5714638,1475799,936330,00-00000-20200418
National,2020-04-19,,,,,95836344,231331090,774978224,214387596,224412108,94376302,105623259,89309903,27586551,10814033,5986811,1536105,945556,00-00000-20200419
National,2020-04-20,,,,,85301537,241865897,931001757,260563418,248853493,104841336,126095540,124119561,42091202,14828421,6829194,1712528,1067064,00-00000-20200420
National,2020-04-21,,,,,89242172,237925262,941189494,252568633,235328662,110090169,136675981,136457357,46894127,15333527,6055024,1295364,490650,00-00000-20200421
National,2020-04-22,,,,,88142841,239024593,939985140,251431962,233977767,109614960,137023934,137192337,47334903,15442330,6182377,1302681,481889,00-00000-20200422
National,2020-04-23,,,,,87773716,239393718,944187610,249654066,236144145,110641971,137927190,138434294,47383465,15669116,6455221,1372970,505172,00-00000-20200423
National,2020-04-24,,,,,86206815,240960619,976115498,253422345,248240435,116906393,144623526,141459654,47362091,15782814,6518875,1295792,503573,00-00000-20200424
National,2020-04-25,,,,,90778788,236388646,938545741,248731984,254387013,117963462,137958779,121256786,37917777,13110171,5504638,1203408,511723,00-00000-20200425
National,2020-04-26,,,,,97137810,230029624,839543412,220637504,234456391,106395818,122029298,104998071,32073923,11679074,5459329,1230566,583438,00-00000-20200426
National,2020-04-27,,,,,86719071,240448363,967547687,255808250,244990814,114999107,141953779,139735150,47198682,15191124,5974852,1187449,508480,00-00000-20200427
National,2020-04-28,,,,,85864112,241303322,982542104,263204457,247735885,115570688,143197786,141570127,48130004,15492155,5925352,1239179,476471,00-00000-20200428
National,2020-04-29,,,,,86596074,240571360,966686362,255151286,243626230,114151447,141649379,140683895,47822814,15571712,6237262,1307109,485228,00-00000-20200429
National,2020-04-30,,,,,85771487,241395947,976423119,252784513,247323929,116421374,144204606,143040427,48626173,15880014,6413226,1290428,438429,00-00000-20200430
National,2020-05-01,,,,,81698374,245469060,1043562593,273584327,267685185,126528097,154306882,148042410,48996130,16269864,6505550,1209590,434558,00-00000-20200501
National,2020-05-02,,,,,86256940,240910494,1003405022,268887090,269136074,125908971,147064823,129430514,40945745,14477167,5888950,1199450,466238,00-00000-20200502
National,2020-05-03,,,,,93108775,234058659,889638000,241257371,244367207,111132726,127565566,109755504,34650676,13053864,6068415,1271664,515007,00-00000-20200503
National,2020-05-04,,,,,84028680,243138754,1006445209,266339837,255554933,120435453,148028030,144134363,48489341,15749621,6110279,1144934,458418,00-00000-20200504
National,2020-05-05,,,,,83828841,243338593,1010902338,265010250,256426574,121259016,149325631,146276367,49122315,15826005,6023474,1203019,429687,00-00000-20200505
National,2020-05-06,,,,,84084471,243082963,994558750,259528396,248098920,118713557,148205586,146189490,49459820,16073057,6312314,1332567,645043,00-00000-20200506
National,2020-05-07,,,,,82714844,244452590,1007207727,264402152,250811379,120134125,149521127,146797657,49847736,16661525,6792058,1455610,784358,00-00000-20200507
National,2020-05-08,,,,,82776980,244390454,1026383054,261682771,261017598,124902716,153690073,149734253,50001684,16762999,6850644,1275876,464440,00-00000-20200508
National,2020-05-09,,,,,86531158,240636276,998794928,255421973,269582061,127882207,149844338,131671869,41349089,14898389,6380642,1269148,495212,00-00000-20200509
National,2020-05-10,,,,,90137549,237029885,895324011,227752156,244019516,113778643,132974275,117207744,37228208,14197492,6409124,1266892,489961,00-00000-20200510
National,2020-05-11,,,,,76297675,250869759,1044978446,280896592,257286990,122409406,153538205,152250608,51971990,17456894,7179791,1432084,555886,00-00000-20200511
National,2020-05-12,,,,,74536940,252630494,1089574352,299167073,267195478,126814291,158311292,157166241,53774403,17835160,7296912,1531111,482391,00-00000-20200512
National,2020-05-13,,,,,75826472,251340962,1047466886,288095948,254267840,120932538,151697063,152005752,52793824,17929414,7449898,1638738,655871,00-00000-20200513
National,2020-05-14,,,,,75050011,252117423,1045822091,285797573,253626664,120840322,151677042,151994145,53115582,18417562,7918593,1703689,730919,00-00000-20200514
National,2020-05-15,,,,,73913951,253253483,1059099077,287484132,259776482,123509491,153935095,152111675,52398462,18769171,8472069,1790824,851676,00-00000-20200515
National,2020-05-16,,,,,78855104,248312330,1037754252,283975968,268855558,128138785,151711108,134858906,43814793,16422488,7479372,1661156,836118,00-00000-20200516
National,2020-05-17,,,,,76535744,250631690,1013197232,277601752,270149689,125214658,145866471,126995722,40746175,16342209,8164092,1604045,512419,00-00000-20200517
National,2020-05-18,,,,,65134969,262032465,1146140302,308101098,282842746,134887335,167879189,166663574,57623893,19094561,7398486,1308022,341398,00-00000-20200518
National,2020-05-19,,,,,64655334,262512100,1155428437,311995852,282540863,134412226,168573297,169551341,59112272,19566184,7763432,1528952,384018,00-00000-20200519
National,2020-05-20,,,,,63747441,263419993,1164502106,316229276,283729836,135279265,169565400,169912734,59339752,20074480,8216589,1665387,489387,00-00000-20200520
National,2020-05-21,,,,,61674190,265493244,1183242120,319183543,287954866,138096865,173144620,172344533,59984483,21000061,9015532,1818373,699244,00-00000-20200521
National,2020-05-22,,,,,58899373,268268061,1220005421,323485669,299950507,145000887,180170369,175708910,60406823,22238672,10288317,1932205,823062,00-00000-20200522
National,2020-05-23,,,,,67107738,260059696,1137302011,306700490,294092100,140206138,167341269,149612661,48711214,19128036,8869278,1792802,848023,00-00000-20200523
National,2020-05-24,,,,,80640735,246526699,942801676,255277495,244441226,116155158,137594610,121347822,40039828,16772550,8089769,1842883,1240335,00-00000-20200524
National,2020-05-25,,,,,80848437,246318997,899272417,242990504,231882540,108968242,129729597,116654125,39396556,17221133,9193588,2025618,1210514,00-00000-20200525
National,2020-05-26,,,,,72797585,254369849,1019263461,267644508,247896656,120729435,151823064,149874797,51444144,18299955,8300966,1951063,1298873,00-00000-20200526
National,2020-05-27,,,,,72444598,254722836,1080677629,291204312,262539526,126770471,158649573,157266963,54437991,18896708,8289922,1834946,787217,00-00000-20200527
National,2020-05-28,,,,,73762817,253404617,1056082690,284643937,256627807,122475321,153809742,154115886,54230553,19190020,8636198,1806027,547199,00-00000-20200528
National,2020-05-29,,,,,78840421,248327013,1059108419,281574322,261893138,124459955,154745791,153359324,53172042,19120200,8603516,1679249,500882,00-00000-20200529
National,2020-05-30,,,,,80927024,246240410,1053877326,286274467,271920370,128275747,152870976,139431181,46502155,18027511,8363795,1706105,505019,00-00000-20200530
National,2020-05-31,,,,,84859996,242307438,948309948,260701395,247709712,114628707,135144343,120926152,40632756,17335913,8872950,1786820,571200,00-00000-20200531
National,2020-06-01,,,,,74950180,252217254,1027164685,276929208,254423136,120019363,148789116,147043387,51643357,18199276,7911012,1585006,621824,00-00000-20200601
National,2020-06-02,,,,,76026911,251140523,1039981500,283869903,251312989,119142514,149956847,151300854,53760861,19137135,8806567,1940764,753066,00-00000-20200602
National,2020-06-03,,,,,69955426,257212008,1110917711,301896524,268908348,128772810,161806105,161667177,56647379,19782835,8772065,1893463,771005,00-00000-20200603
National,2020-06-04,,,,,70414491,256752943,1072076518,288042772,258582056,124186089,156337518,157399217,55648306,19922959,9212532,2001391,743678,00-00000-20200604
National,2020-06-05,,,,,69989513,257177921,1107885771,294162892,270222199,129932422,162375342,160721444,56510964,21022041,10116985,2025603,795879,00-00000-20200605
National,2020-06-06,,,,,79705726,247461708,985358874,255908755,255455260,121956804,146912607,133697810,44247805,16995380,7847071,1620571,716811,00-00000-20200606
National,2020-06-07,,,,,78462106,248705328,957493300,246028627,258381120,118902010,138820360,122946500,41648081,18057236,9748683,2048642,912041,00-00000-20200607
National,2020-06-08,,,,,68458522,258708912,1111735329,291545139,273861586,133045400,165587841,162165382,55703751,19106924,8353773,1690206,675327,00-00000-20200608
National,2020-06-09,,,,,74111378,253056056,1040375216,274497259,252008715,121750919,154313232,154545166,54077106,18636497,7985620,1748864,811838,00-00000-20200609
National,2020-06-10,,,,,73657277,253510157,1047322006,282029297,252933721,121615917,153438619,152895880,53710963,19101391,8627514,1966271,1002433,00-00000-20200610
National,2020-06-11,,,,,71475817,255691617,1079489816,286714246,261074793,126874248,160113222,158176810,54973100,19674370,9005562,1952739,930726,00-00000-20200611
National,2020-06-12,,,,,71576618,255590816,1091313320,291025910,265265522,128226133,160307846,157328175,55093313,21063413,10158057,2040767,804184,00-00000-20200612
National,2020-06-13,,,,,74856283,252311151,1087820678,294445483,273602644,132243056,159475489,145708647,49971446,20201297,9540377,1957733,674506,00-00000-20200613
National,2020-06-14,,,,,81305338,245862096,920825304,248430203,233921195,111033590,132820076,119923514,42040287,19234603,10391452,2173599,856785,00-00000-20200614
National,2020-06-15,,,,,76163687,251003747,1006440207,270845330,244604362,117209372,146811067,145282704,51201987,18954306,8870767,1911109,749203,00-00000-20200615
National,2020-06-16,,,,,75543198,251624236,1072538999,292857800,260853549,124793326,156220128,154663813,53538946,18906716,8274010,1785611,645100,00-00000-20200616
National,2020-06-17,,,,,73067593,254099841,1099723524,301262899,266593888,127567859,159858916,158407375,55240226,19528557,8761056,1890964,611784,00-00000-20200617
National,2020-06-18,,,,,72476074,254691360,1078198697,291575943,260119575,125467968,157882952,156610581,54942415,19864336,9162282,1929635,643010,00-00000-20200618
National,2020-06-19,,,,,71891991,255275443,1057164183,280435451,256321304,124325314,155952871,153319992,53936993,20536720,9668554,1917524,749460,00-00000-20200619
National,2020-06-20,,,,,77616767,249550667,1012741313,271528070,255696651,122643490,148396113,135948051,47175746,19517023,9178912,1898469,758788,00-00000-20200620
National,2020-06-21,,,,,84148517,243018917,890340741,237066732,224794833,106630749,129582662,119255690,42364258,18800502,9234697,1850784,759834,00-00000-20200621
National,2020-06-22,,,,,76197592,250969842,965656172,255788562,230630099,112411406,142504534,141937318,51105779,19298340,9157127,1982653,840354,00-00000-20200622
National,2020-06-23,,,,,73345776,253821658,1045524846,278710415,250746978,122090848,154711241,154402327,54155547,19281513,8721329,1931515,773133,00-00000-20200623
National,2020-06-24,,,,,77223311,249944123,995044451,267513543,236991461,114795943,146115953,147257446,52350313,18828687,8564219,1887803,739083,00-00000-20200624
National,2020-06-25,,,,,74220726,252946708,1039714067,280430129,248182529,120186913,152266265,152443269,54121624,19867767,9343327,2022885,849359,00-00000-20200625
National,2020-06-26,,,,,74370910,252796524,1032799223,275599234,248418114,119859365,150519446,150023703,54112212,20997913,10288057,2140899,840280,00-00000-20200626
National,2020-06-27,,,,,77993738,249173696,1029521414,275629577,257875425,124682231,151580374,139527687,48203635,19700119,9563902,1981438,777026,00-00000-20200627
National,2020-06-28,,,,,82069260,245098174,899119168,237362296,226296489,108507580,131295503,119652484,42571380,19526132,10725555,2253125,928624,00-00000-20200628
National,2020-06-29,,,,,78791722,248375712,969387528,255843125,232349954,112730262,143139406,143185682,51213048,19019639,8957261,1995722,953429,00-00000-20200629
National,2020-06-30,,,,,77346196,249821238,958999840,252764756,226745603,111166841,141791403,143555900,51478578,19077343,9073619,2186194,1159603,00-00000-20200630
National,2020-07-01,,,,,75288661,251878773,973662902,259579907,231395558,112676883,142781307,143455838,51607964,19419444,9353791,2201317,1190893,00-00000-20200701
National,2020-07-02,,,,,79847198,247320236,1103365355,297595176,263410853,127571257,161620601,161761191,57385512,21059860,9912441,2146594,901870,00-00000-20200702
National,2020-07-03,,,,,83897555,243269879,1026875080,274037870,247036173,119194955,149668421,149140363,53749931,20857795,10225081,2128465,836026,00-00000-20200703
National,2020-07-04,,,,,89495942,237671492,878531782,234442951,211346817,101975574,128057959,127597060,45984485,17843578,8747513,1820771,715074,00-00000-20200704
National,2020-07-05,,,,,83640828,243526606,849924132,224762490,211525208,102420887,124302951,112574591,40069088,19293491,11277681,2378490,1319255,00-00000-20200705
National,2020-07-06,,,,,80309707,246857727,911665695,236439559,219327879,107589837,135245050,133438909,48139555,18766407,9342960,2121659,1253880,00-00000-20200706
National,2020-07-07,,,,,78482259,248685175,935701155,244541884,221799720,109078033,139104386,139945425,50180841,18792397,8975646,2105928,1176895,00-00000-20200707
National,2020-07-08,,,,,77804889,249362545,937788478,245382783,221241184,108944257,139232104,139955420,50710189,19343875,9550583,2206596,1221487,00-00000-20200708
National,2020-07-09,,,,,77581232,249586202,952325679,250109844,224635410,110408483,140786478,141783496,51526652,19927368,9805768,2196786,1145394,00-00000-20200709
National,2020-07-10,,,,,76549582,250617852,967479207,248133958,231258305,113809570,144651349,143656215,51669718,20424146,10431982,2218378,1225586,00-00000-20200710
